quiz;question_no;question;choice_A;choice_B;choice_C;choice_D;correct_letter;hint
"Technologie & Ethik";22;"Welche Paarung wird ebenfalls diskutiert?";"Standort ↔ Anwesenheit";"Farbe ↔ Lautstärke";"Preis ↔ Temperatur";"Energie ↔ Geschmack";A;""
"Technologie & Ethik";23;"Welche Frage gehört zum Problem „Standort ↔ Anwesenheit“?";"Ob virtuelle Anwesenheit Verantwortung bedeutet";"Ob Papier recycelbar ist";"Ob ein Akku lädt";"Ob WLAN schnell ist";A;""
"Technologie & Ethik";24;"Welches Risiko wird bei „Standort ↔ Anwesenheit“ genannt?";"Überwachung";"Nur mehr Freizeit";"Garantierte Chancengleichheit";"Vollständige Anonymität";A;""
"Technologie & Ethik";25;"Welche weitere Gefahr wird bei „Standort ↔ Anwesenheit“ genannt?";"Verschwimmen von Privatleben und Arbeit";"Keine Daten entstehen";"Perfekte Gerechtigkeit";"Keine sozialen Effekte";A;""
"Technologie & Ethik";26;"Was ist das Thema von „Ethik der Algorithmen“ in den Notizen?";"Reine Effizienzsteigerung ohne Nebenwirkungen";"Ethische Risiken durch algorithmische Entscheidungen";"Programmieren ohne Daten";"Hardware-Reparatur";B;""
"Technologie & Ethik";27;"Welche Folge können unvollständige Daten haben?";"Menschen werden unfair bestraft";"Entscheidungen werden automatisch gerecht";"Black Boxes werden transparent";"Diskriminierung verschwindet";A;""
"Technologie & Ethik";28;"Was ist ein Risiko von Vorurteilen in Trainingsdaten?";"Algorithmen übernehmen Diskriminierung";"Algorithmen ignorieren immer Trainingsdaten";"Algorithmen werden automatisch erklärbar";"Algorithmen werden wertneutral im Ergebnis";A;""
"Technologie & Ethik";29;"Was bedeutet „Black Box“ im Kontext der Notizen?";"Entscheidungen sind immer nachvollziehbar";"Man versteht die Entscheidung nicht; Widerspruch ist schwer möglich";"Daten sind immer vollständig";"Verantwortung ist immer eindeutig";B;""
"Technologie & Ethik";30;"Welche ethische Dimension wird durch „Ungleichbehandlung“ besonders verletzt?";"Gerechtigkeit (Justice)";"Erklärbarkeit (Explainability)";"Nachhaltigkeit als Techniktyp";"Besitzrecht";A;""
"Technologie & Ethik";31;"Was beschreibt „Verhaltensbeeinflussung“ in den Notizen?";"Werbung/Überwachung verändert Verhalten; Verlust von Freiheit und Privatsphäre";"Technik verändert Verhalten nie";"Nur Bücher beeinflussen Verhalten";"Einfluss ist immer positiv und freiheitssteigernd";A;""
"Technologie & Ethik";32;"Was ist das Problem „unklare Verantwortung“?";"Niemand fühlt sich zuständig, wenn etwas schiefgeht";"Verantwortung liegt immer eindeutig beim Praktikanten";"Verantwortung existiert nicht";"Verantwortung kann nicht verteilt werden";A;""
"Technologie & Ethik";33;"Welche Antwort beschreibt „Transparenz“ als Gegenmittel zur Black Box am besten?";"Verbergen der Entscheidungslogik";"Verständliche Erklärungen, wie und warum entschieden wurde";"Mehr Komplexität ohne Kommunikation";"Nur schnelleres Rechnen";B;""
"Technologie & Ethik";34;"Welcher Begriff aus den Notizen steht in enger Verbindung zu „Verantwortlichkeit“?";"Accountability";"Encryption";"Latency";"Rendering";A;""
"Technologie & Ethik";35;"Welche Kombination passt am besten zu typischen Algorithmen-Risiken aus den Notizen?";"Unvollständige Daten + Bias + Black Box";"Mehr Papier + weniger Strom + besseres Wetter";"Weniger Kaffee + mehr Sport + früher Schlaf";"Mehr Speicher + schönere Farben + neue Icons";A;""
"Technologie & Ethik";36;"Wie heißen die fünf ethischen Prinzipien in den Notizen?";"Profit, Speed, Growth, Fun, Design";"Beneficence, Non-Maleficence, Autonomy, Justice, Explainability";"Privacy, Security, Marketing, Sales, HR";"Ordnung, Sauberkeit, Pünktlichkeit, Stil, Mut";B;""
"Technologie & Ethik";37;"Wofür steht Beneficence (Wohltun) primär?";"Gemeinwohl und Wohlbefinden fördern";"Strafen erhöhen";"Entscheidungen verstecken";"Diskriminierung legitimieren";A;""
"Technologie & Ethik";38;"Welches Ziel wird unter Beneficence genannt?";"Frieden";"Maximale Intransparenz";"Ausschluss von Minderheiten";"Datenhandel um jeden Preis";A;""
"Technologie & Ethik";39;"Welche Schwäche wird bei Beneficence genannt?";"Schwer messbar und oft zu allgemein";"Zu mathematisch exakt";"Zu leicht zu messen";"Nur für kleine Systeme geeignet";A;""
"Technologie & Ethik";40;"Wofür steht Non-Maleficence (Nicht-Schaden)?";"Risiken ignorieren";"Sicherheit und Schutz vor Missbrauch; vorsichtiger Einsatz";"Maximale Überwachung";"Entscheidungsfreiheit reduzieren";B;""
"Technologie & Ethik";41;"Welcher Punkt gehört zu Non-Maleficence?";"Schutz vor Missbrauch";"Keine Erklärungen geben";"Diskriminierung erhöhen";"Werbung verstärken";A;""
"Technologie & Ethik";42;"Was umfasst Autonomy (Autonomie) in den Notizen?";"Ausschließlich Unternehmensfreiheit";"Selbstbestimmung, Datenkontrolle, Consent, Wahlfreiheit";"Nur Geschwindigkeit von Entscheidungen";"Nur technische Robustheit";B;""
"Technologie & Ethik";43;"Welches Problem wird bei Autonomy besonders betont?";"Datenschutz und KI-Überwachung machen Autonomie schwierig";"Autonomie ist immer leicht umsetzbar";"Autonomie ist identisch mit Profit";"Autonomie betrifft nur Hardware";A;""
"Technologie & Ethik";44;"Justice (Gerechtigkeit) zielt vor allem auf was?";"Keine Diskriminierung und Chancengleichheit";"Maximale Geheimhaltung";"Niedrige Auflösung";"Schnelle Lieferzeiten";A;""
"Technologie & Ethik";45;"Welcher Punkt gehört zu Justice?";"Vielfalt und Inklusion";"Black Box";"Bodenschwellen";"Zoom-Latenz";A;""
"Technologie & Ethik";46;"Explainability (Erklärbarkeit) umfasst laut Notizen insbesondere:";"Verständlichkeit, Transparenz, Kommunikation, Accountability";"Nur Marketingtexte";"Nur Verschlüsselung";"Nur Datensparsamkeit";A;""
"Technologie & Ethik";47;"Welche Schwäche wird bei Explainability genannt?";"Oft zu komplex/intransparent („Black Box“)";"Immer vollständig verständlich";"Nie relevant für KI";"Erklärbarkeit verhindert Verantwortung";A;""
"Technologie & Ethik";48;"Welche Zuordnung passt zur Merkhilfe „GUTES“ in den Notizen?";"Gerechtigkeit, Unabhängigkeit (Autonomie), Transparenz (Explainability), Ethik (Wohltun), Schutz (Nicht-Schaden)";"Gewinn, Umsatz, Team, Effizienz, Sicherheit";"Gewalt, Unwissen, Technik, Egoismus, Stress";"Genuss, Urlaub, Training, Essen, Schlaf";A;""
"Technologie & Ethik";49;"Welche Aussage entspricht dem Merksatz „Algorithmen = unsichtbare Entscheider“ am besten?";"Algorithmen haben keinen Einfluss auf Menschen";"Algorithmische Entscheidungen wirken oft verborgen und brauchen Transparenz";"Algorithmen sind immer gerecht";"Algorithmen sind nur Deko";B;""
"Technologie & Ethik";50;"Welche Aussage entspricht „Technologie = neutral – aber ihr Einsatz ist moralisch“?";"Nur der Code zählt, nicht die Nutzung";"Die moralische Bewertung hängt stark davon ab, wie Technologie eingesetzt wird";"Technologie ist immer unmoralisch";"Moral hat nichts mit Technik zu tun";B;""
